"Replicate.Name","Area.Value","Mz.Value","RT.Value","SN.Value","Alignment.ID","Average.Rt.min.","Metabolite.name","Adduct.type","MS.MS.assigned","Reference.RT","Reference.m.z","Comment","RT.similarity","S.N.average","Spectrum.reference.file.name"
"190912_Blk_HBlk1_A.0.3",32573,357.28,8.567,1.880543,"5573","8.518","FA 24:5","[M-H]-","FALSE","8.5","357.27936","G; but only for the 0.3","100","17.66","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_A.0.3",512,359.296,9.245,0.5329901,"5650","9.705","FA 24:4","[M-H]-","FALSE","9.8","359.29501","ok but peaks not great","100","19.96","190912_Smp_HS8C3D75_0-3"
"190912_Blk_HBlk1_A.0.3",0,361.312,0,0,"5728","11.408","FA 24:3","[M-H]-","FALSE","11.5","361.31067","ok","99.9","24.77","190912_Smp_HS8C3D75_0-3"
"190912_Blk_HBlk1_A.0.3",3164,363.328,13.122,1.365167,"5800","13.055","FA 24:2","[M-H]-","FALSE","13.1","363.32629","G;","100","73.94","190912_Smp_HS8C3D75_0-3"
"190912_Blk_HBlk1_A.0.3",175935,365.343,15.139,48.84452,"5882","15.08","FA 24:1_Std","[M-H]-","FALSE","15.2","365.34195","G;","99.9","1150.52","190912_Std_FA-StdsInSolvent_2"
"190912_Blk_HBlk1_A.0.3",2959787,367.359,17.579,365.2219,"5956","17.503","FA 24:0","[M-H]-","FALSE","17.5","367.3576","G;","99.9","603.5","190912_Smp_HS8C3D5_0-3"
"190912_Blk_HBlk1_A.0.3",1821358,381.374,18.668,90.64677,"6460","18.599","FA 25:0","[M-H]-","FALSE","18.7","381.37326","G;","99.6","159.29","190912_Smp_HS6C3D400_C-0-2"
"190912_Blk_HBlk1_A.0.3",0,383.296,0,0,"6576","9.054","FA 26:6","[M-H]-","FALSE","9.1","383.29501","G;","100","17.85","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_A.0.3",2391,385.312,10.561,0.7641357,"6654","10.33","FA 26:5","[M-H]-","FALSE","10.4","385.31067","ok; is the RT inputed correct?","99.9","24.26","190912_Smp_HS8C3D75_0-3"
"190912_Blk_HBlk1_A.0.3",0,387.328,0,0,"6734","11.932","FA 26:4","[M-H]-","FALSE","12","387.32629","G;","99.9","53.79","190912_Smp_HS8C3D75_0-3"
"190912_Blk_HBlk1_A.0.3",0,389.343,0,0,"6813","13.791","FA 26:3","[M-H]-","FALSE","13.9","389.34195","ok","99.7","60.33","190912_Smp_HS8C3D75_0-3"
"190912_Blk_HBlk1_A.0.3",100050,393.374,17.522,25.2358,"6964","17.511","FA 26:1","[M-H]-","FALSE","17.9","393.37326","G;","100","1339.9","190912_Smp_HS8C3D5_0-3"
"190912_Blk_HBlk1_A.0.3",1641224,395.39,19.561,342.5312,"7042","19.495","FA 26:0","[M-H]-","FALSE","19.5","395.38892","G;","100","683.61","190912_Smp_HS8C3D5_0-3"
"190912_Blk_HBlk1_B.0.2",3657581,171.138,2.849,34.72428,"514","2.946","FA 10:0","[M-H]-","FALSE","3.1","171.1385","G; real peak is at 3 min","98.6","22.18","190912_Smp_HS5C3D400_C-0-3"
